state,risk,best_action,Q(NO_ACTION),Q(REDUCE_SMOKING),Q(REDUCE_MENTAL_STRESS),Q(REDUCE_ALCOHOL_CONSUMPTION),Q(REDUCE_EXPOSURE_TO_POLLUTION)
"(1, 1, 0, 1)",0.97028804,REDUCE_SMOKING,0.162381824954494,0.6105516448417823,0.2715089302192267,0.2471819795842977,0.3137588922206631
"(1, 1, 1, 1)",0.9550049,REDUCE_SMOKING,0.11359821212027221,0.6139741256542652,0.19881199227895832,0.2393185613275483,0.22942658104837907
"(1, 0, 0, 1)",0.95211077,REDUCE_SMOKING,0.16939697930138906,0.3073126937331577,0.08035715385569947,0.12027608527432473,0.14516625208102557
"(1, 0, 1, 1)",0.9334806,REDUCE_EXPOSURE_TO_POLLUTION,0.15051599197245114,0.2192762657543846,0.19864758622925732,0.11210216503535236,0.4388564276223286
"(1, 1, 1, 0)",0.70140624,REDUCE_SMOKING,0.07920810896143374,0.556551483034149,0.12436451207731485,0.09376067805970166,0.0
"(1, 1, 0, 0)",0.6890419,REDUCE_SMOKING,0.2304894499831242,0.5342040020109518,0.15823798159657781,0.174872433482537,0.2130505859530965
"(1, 0, 1, 0)",0.5760367,REDUCE_SMOKING,0.10834166388929439,0.31328104701614556,0.11033079153465067,0.11772982040386655,0.11132457612688082
"(1, 0, 0, 0)",0.5413172,REDUCE_SMOKING,0.1438138119671132,0.25583741780548297,0.16736473991671988,0.16930586536072229,0.1505202801903344
"(0, 1, 1, 1)",0.0194137,REDUCE_MENTAL_STRESS,2.345454617087206e-12,-0.0022481380260751787,0.006765915349277802,0.001463743443701434,-0.004287247542805022
"(0, 1, 1, 0)",0.018036952,REDUCE_ALCOHOL_CONSUMPTION,6.995347695741486e-32,-0.003867057534864057,-0.013575304731627387,0.013390393433146394,-0.002698116621415824
"(0, 0, 1, 1)",0.016266363,NO_ACTION,0.0002920831465022159,-0.0037790434850616186,-0.004316828247067041,-0.011632598359959109,-0.0006945219836524893
"(0, 0, 1, 0)",0.011823968,NO_ACTION,1.8741863318796422e-46,-0.0046187481246428245,-0.004287134970697503,-0.00039642280060195285,-0.004558446248232884
"(0, 1, 0, 1)",0.009360594,REDUCE_EXPOSURE_TO_POLLUTION,0.0020903861221863765,-0.0035173154971058864,-0.011049046386885118,0.00346782145998671,0.06137348510401223
"(0, 1, 0, 0)",0.007407598,NO_ACTION,7.299694351441611e-109,-0.004989348699712664,-0.011763339975240816,-0.004997746975202091,-0.004997294299496764
"(0, 0, 0, 1)",0.007214322,NO_ACTION,2.030766460642038e-13,-0.004976102112951349,-0.003222855394890275,-0.004971487852894257,-0.0019346870191099255
"(0, 0, 0, 0)",0.0044564577,NO_ACTION,0.0,-0.004999999886366616,-0.004999999869204593,-0.004999999879136099,-0.004999999881603608
